CountryS,StatusR,StatusT,Incidence,Prevalence,Immunity,Vaccination,Popultion
Austria,321.381828910181,628.477215257163,0.000486618595404903,0.00601418828621496,0.102047131713785,0.0611318596444844,8916185.491
Belgium,291.361044838099,558.413386936865,0.000441283204780726,0.0055250097155192,0.165576079284481,0.0560746753620271,11419165.53
Bulgaria,324.372280808649,1897.54190454877,0.00163555872947854,0.0176313793460848,0.125149300653915,0.0338195667862227,6934624.606
Denmark,126.061279495372,186.238553029211,0.0001483073407337,0.00183305716371388,0.0709609948362861,0.0885026008391041,5802733.424
Finland,149.093944848702,286.476444068426,0.000240351892262266,0.00276882861097536,0.0201068623890246,0.0810755922611994,5534094.633
France,452.044553562434,1030.69292047245,0.000842351253293596,0.0103864148600401,0.15294638413996,0.0541023950200843,66204314.96
Germany,132.743629865137,403.934118075694,0.000304727277139006,0.00402389322764966,0.0737345267723503,0.0574730879493139,84914055.85
Greece,233.942135131157,732.421973990599,0.000638267465467503,0.00683130545095777,0.0449893125490422,0.0675113102165948,10337171.62
Hungary,572.965008721162,4597.19385386675,0.00437674692870441,0.041839400382339,0.159421305617661,0.0981451817368832,9674412.775
Italy,401.648595490544,895.580202015232,0.000778136603977321,0.00845275933443455,0.0950109006655654,0.0599361466657582,60313169.95
Lithuania,254.632537357115,410.748862822272,0.000292458414293492,0.00427366033268751,0.104444038667312,0.0753740941080208,2794222.637
Malta,753.152032039871,1519.97426512747,0.00135849312806657,0.0140588434045018,0.0598372225954982,0.139100896461632,439220.7495
Portugal,128.022377275051,249.392425072162,0.000148251830403601,0.00305632081248671,0.226226364187513,0.0650589517134931,10651262.92
Romania,241.076258904008,957.303138486854,0.000792427548620407,0.00905632677812538,0.118415135221875,0.0570207004119921,19237066.4
Slovakia,585.409159913788,1952.37592129355,0.0015178660313432,0.0199749442672077,0.138750007732792,0.0627930868293326,5437222.746
Sweden,440.086071515014,966.515696620874,0.000813163387407682,0.00927981025316478,0.178054594746835,0.058441802522625,10222545.75
Switzerland,152.930920911234,264.969896970978,0.000225268269384473,0.00258754273852842,0.0986056932614716,0.0679030382465951,8775203.811
Turkey,164.013647537743,383.927319340732,0.000288991275080517,0.00363465354213401,0.100704493457866,0.0915236615556877,81359692.93
United Kingdom,164.013647537743,383.927319340732,0.000110745647952099,0.00232703900682604,0.152481061993174,0.32425071525417,67220446.94
