Reporting week,0-4 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,0,266,247,340,"1,272",466,723
2021-W48,0,"1,081",853,980,"3,901","1,466","2,208"
2021-W47,0,"1,889",1479,"1,517","6,518","2,459","3,916"
2021-W46,1,"2,564",2142,"2,081","9,464","3,598","5,907"
2021-W45,1,"3,207",2786,"2,695","12,543","4,761","8,825"
2021-W44,1,"3,595",3272,"3,177","15,186","5,648","10,854"
2021-W43,1,"3,918",3806,"3,897","18,896","6,893","13,355"
2021-W42,1,"4,248",4315,"4,525","22,256","8,052","15,407"
2021-W41,1,"4,650",4799,"5,084","25,071","8,963","17,070"
2021-W40,1,"5,065",5312,"5,807","27,906","9,879","18,609"
2021-W39,1,"5,658",6037,"6,587","31,145","10,958","20,171"
2021-W38,1,"6,084",6827,"7,854","36,550","12,880","22,493"
2021-W37,1,"6,538",7881,"9,993","44,742","15,672","25,601"
2021-W36,1,"7,122",8927,"12,501","53,054","18,892","28,829"
2021-W35,1,"8,316",10541,"15,609","61,938","22,057","32,159"
2021-W34,1,"10,141",12981,"19,282","72,470","26,102","36,669"
2021-W33,1,"11,904",15761,"23,391","86,370","31,441","42,758"
2021-W32,1,"13,990",18973,"27,370","100,778","37,179","49,900"
2021-W31,1,"16,508",22311,"32,239","119,729","45,291","57,644"
2021-W30,1,"18,196",24675,"38,161","146,194","57,339","66,668"
2021-W29,1,"19,539",26325,"41,943","164,823","65,480","73,034"
2021-W28,1,"20,596",27482,"43,755","172,700","68,784","75,886"
2021-W27,1,"21,514",28586,"45,623","179,032","71,322","78,766"
2021-W26,1,"22,714",30016,"48,219","186,416","74,270","82,017"
2021-W25,1,"24,287",31514,"50,388","193,774","76,674","84,207"
2021-W24,1,"27,444",34396,"53,828","205,645","81,212","88,567"
2021-W23,1,"27,446",37003,"62,006","228,615","87,138","93,721"
2021-W22,1,"27,447",42508,"82,183","281,017","95,959","100,570"
2021-W21,1,"27,447",43023,"86,495","319,455","109,603","110,263"
2021-W20,1,"27,447",43184,"90,395","350,292","126,965","121,787"
2021-W19,1,"27,447",43304,"95,545","389,199","148,928","139,991"
2021-W18,1,"27,447",43409,"100,501","430,536","170,935","158,403"
2021-W17,1,"27,447",43548,"104,077","451,748","187,929","177,940"
2021-W16,1,"27,447",43729,"109,554","472,730","201,808","203,462"
2021-W15,1,"27,447",43866,"113,713","494,307","216,910","242,925"
2021-W14,1,"27,450",44018,"121,679","518,590","233,313","290,123"
2021-W13,1,"27,450",44057,"125,687","531,581","241,846","329,529"
2021-W12,1,"27,450",44070,"126,486","537,104","246,460","367,916"
2021-W11,1,"27,450",44072,"126,601","537,893","247,382","387,638"
2021-W10,1,"27,450",44073,"126,798","539,036","248,353","429,112"
2021-W09,1,"27,450",44080,"126,983","540,423","249,597","472,346"
2021-W08,1,"27,450",44083,"127,152","542,162","251,412","512,069"
2021-W07,1,"27,450",44088,"127,453","546,359","255,541","526,695"
2021-W06,1,"27,451",44098,"128,050","554,173","262,012","532,192"
2021-W05,1,"27,451",44101,"128,291","556,737","263,863","534,347"
2021-W04,1,"27,451",44124,"129,038","562,717","266,944","537,541"
2021-W03,1,"27,451",44132,"129,250","565,135","268,751","541,212"
2021-W02,1,"27,451",44261,"130,022","574,251","276,290","551,400"
2021-W01,1,"27,451",44262,"130,433","579,473","280,675","555,198"
2020-W53,1,"27,451",44262,"130,673","582,726","283,042","556,666"
2020-W52,1,"27,451",44262,"130,757","583,980","283,744","557,048"
2020-W51,1,"27,451",44262,"130,757","583,980","283,744","557,048"
2020-W50,1,"27,451",44262,"130,757","583,980","283,744","557,048"
