Reporting week,0-4 years,5-9 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,0,0,50,190,717,"2,928","1,042","1,497"
2021-W48,3,0,602,1732,"5,650","23,619","8,720","11,808"
2021-W47,3,0,980,2691,"9,184","38,374","14,002","18,954"
2021-W46,7,0,"1,162",3252,"12,966","54,746","19,683","25,157"
2021-W45,11,3,"1,333",3808,"16,917","72,361","25,992","31,818"
2021-W44,12,3,"1,518",4405,"19,718","83,152","29,667","36,298"
2021-W43,14,4,"1,655",4952,"22,591","93,554","33,421","41,055"
2021-W42,18,5,"1,789",5403,"24,772","101,689","36,413","45,230"
2021-W41,22,5,"1,918",5853,"26,810","109,992","39,374","49,338"
2021-W40,26,6,"2,048",6292,"28,907","119,333","42,611","53,584"
2021-W39,26,7,"2,155",6700,"31,378","128,717","46,271","58,007"
2021-W38,27,9,"2,255",7072,"34,039","138,744","50,034","62,776"
2021-W37,31,9,"2,331",7413,"36,515","148,177","53,593","67,244"
2021-W36,34,10,"2,405",7703,"38,738","156,959","56,757","71,150"
2021-W35,36,13,"2,475",8102,"41,344","166,876","60,596","75,878"
2021-W34,41,14,"2,591",8600,"44,754","179,539","65,261","81,796"
2021-W33,43,14,"2,687",9102,"48,216","192,354","70,586","88,200"
2021-W32,48,16,"2,802",9635,"51,802","206,135","76,449","95,407"
2021-W31,49,17,"2,882",10063,"55,095","219,893","83,053","103,760"
2021-W30,54,17,"3,046",10712,"60,268","241,832","94,021","117,701"
2021-W29,60,18,"3,197",11622,"67,615","271,645","107,521","135,108"
2021-W28,69,19,"3,304",12138,"73,870","302,064","120,418","151,182"
2021-W27,77,19,"3,390",12667,"82,726","345,648","141,597","182,003"
2021-W26,79,20,"3,412",12988,"91,011","402,390","172,592","224,854"
2021-W25,83,20,"3,415",13223,"97,499","453,855","202,819","268,507"
2021-W24,91,22,"3,421",13369,"103,279","515,012","244,136","335,589"
2021-W23,95,25,"3,425",13454,"107,470","561,268","277,210","404,823"
2021-W22,98,25,"3,434",13489,"109,666","578,658","292,061","451,164"
2021-W21,101,26,"3,435",13510,"111,000","594,327","306,944","512,793"
2021-W20,102,27,"3,435",13527,"111,881","603,650","316,042","565,473"
2021-W19,103,27,"3,438",13546,"112,428","611,030","323,464","619,216"
2021-W18,103,27,"3,438",13557,"113,292","617,926","330,143","668,509"
2021-W17,103,27,"3,438",13574,"113,630","621,747","334,054","700,151"
2021-W16,103,27,"3,439",13590,"113,877","624,750","337,064","726,716"
2021-W15,103,27,"3,439",13609,"114,112","627,831","340,062","755,975"
2021-W14,103,28,"3,439",13610,"114,251","629,440","341,324","768,075"
2021-W13,103,28,"3,440",13612,"114,375","630,964","342,523","778,537"
2021-W12,103,28,"3,440",13615,"114,463","632,197","343,581","785,486"
2021-W11,103,28,"3,440",13623,"114,651","634,749","345,420","795,905"
2021-W10,103,28,"3,440",13627,"114,879","637,375","347,305","802,615"
2021-W09,103,28,"3,440",13632,"114,951","638,515","348,099","804,852"
2021-W08,103,28,"3,440",13635,"115,001","639,063","348,485","806,051"
2021-W07,103,28,"3,440",13636,"115,087","640,559","349,531","808,666"
2021-W06,103,28,"3,442",13644,"115,384","645,810","353,056","815,091"
2021-W05,103,29,"3,442",13649,"115,716","651,129","356,635","821,139"
2021-W04,103,29,"3,444",13653,"115,991","656,328","359,929","827,391"
2021-W03,103,29,"3,444",13653,"116,126","659,126","361,718","833,913"
2021-W02,103,29,"3,444",13653,"116,128","659,165","361,748","834,240"
2021-W01,103,29,"3,444",13653,"116,129","659,184","361,754","834,242"
2020-W53,103,29,"3,444",13653,"116,129","659,189","361,755","834,242"
2020-W52,103,29,"3,444",13653,"116,129","659,195","361,755","834,242"
2020-W51,103,29,"3,444",13653,"116,129","659,195","361,755","834,242"
2020-W50,103,29,"3,444",13653,"116,129","659,195","361,755","834,242"
