https://www.populationpyramid.net/europe/2019/,,,,,,,,,,,,,,,
Age,M,F,Total,,,,,,,,,,,,
0-4,20227850,19164814,39392664,,0-19,157571898,,0.210888011,,,,,,,
5-9,20958780,19841541,40800321,,20-29,86182442,,0.11534318,,,,,,,
10-14,20412827,19329581,39742408,,30-39,105694723,,0.141457647,,,,,,,
15-19,19321408,18315097,37636505,,40-49,104210190,,0.139470807,,,,,,,
20-24,20350895,19359797,39710692,,50-59,104729444,,0.140165756,,,,,,,
25-29,23724755,22746995,46471750,,60-69,90667309,,0.121345549,,,,,,,
30-34,26793996,26125595,52919591,,70-79,58809267,,0.078708003,,,,,,,
35-39,26479209,26295923,52775132,,80+,39317542,,0.052621047,,,,,,,
40-44,25973623,26242249,52215872,,,,,,,,,,,,
45-49,25735146,26259172,51994318,,,,,,,,,,,,
50-54,25395668,26569263,51964931,,,,,,,,,,,,
55-59,25252855,27511658,52764513,,,,,,,,,,,,
60-64,22440135,25944388,48384523,,,,,,,,,,,,
65-69,18940537,23342249,42282786,,0-4,39392664,,0.249998029,,,,,,,
70-74,14826748,19005377,33832125,,5-9,40800321,,0.258931456,,,,,,,
75-79,10248402,14728740,24977142,,10-14,39742408,,0.252217613,,,,,,,
80-84,7845117,13169734,21014851,,15-19,37636505,,0.238852901,,,,,,,
85-89,3922798,7572206,11495004,,,,,,,,,,,,
90-94,1516500,3787195,5303695,,,,,,,,,,,,
95-99,323303,1062902,1386205,,,,,,,,,,,,
100+,21036,96751,117787,,,,,,,,,,,,
