"Overnight accommodation; guests, country of residence, type, region "
"Type of accommodation: Total overnight accommodation"
"";"";"";"";"Regions"
"Periods";"Country of residence";"Topic";"";"Netherlands"
"2019";"All countries";"Guests";"x 1 000";"45916"
"2019";"All countries";"Overnight stays";"x 1 000";"123443"
"2019";"The Netherlands";"Guests";"x 1 000";"25787"
"2019";"The Netherlands";"Overnight stays";"x 1 000";"71692"
"2019";"Total foreign countries";"Guests";"x 1 000";"20129"
"2019";"Total foreign countries";"Overnight stays";"x 1 000";"51750"
"2019";"Europe excluding The Netherlands";"Guests";"x 1 000";"16051"
"2019";"Europe excluding The Netherlands";"Overnight stays";"x 1 000";"43744"
"2019";"Germany";"Guests";"x 1 000";"6175"
"2019";"Germany";"Overnight stays";"x 1 000";"21580"
"2019";"Belgium";"Guests";"x 1 000";"2507"
"2019";"Belgium";"Overnight stays";"x 1 000";"6202"
"2019";"United Kingdom";"Guests";"x 1 000";"2402"
"2019";"United Kingdom";"Overnight stays";"x 1 000";"5136"
"2019";"France";"Guests";"x 1 000";"963"
"2019";"France";"Overnight stays";"x 1 000";"1920"
"2019";"Switzerland and Liechtenstein";"Guests";"x 1 000";"303"
"2019";"Switzerland and Liechtenstein";"Overnight stays";"x 1 000";"680"
"2019";"Italy";"Guests";"x 1 000";"623"
"2019";"Italy";"Overnight stays";"x 1 000";"1387"
"2019";"Spain";"Guests";"x 1 000";"529"
"2019";"Spain";"Overnight stays";"x 1 000";"1118"
"2019";"Denmark";"Guests";"x 1 000";"166"
"2019";"Denmark";"Overnight stays";"x 1 000";"348"
"2019";"Sweden";"Guests";"x 1 000";"163"
"2019";"Sweden";"Overnight stays";"x 1 000";"321"
"2019";"Other countries Euro zone";"Guests";"x 1 000";"890"
"2019";"Other countries Euro zone";"Overnight stays";"x 1 000";"2300"
"2019";"Other European countries";"Guests";"x 1 000";"1331"
"2019";"Other European countries";"Overnight stays";"x 1 000";"2752"
"2019";"America";"Guests";"x 1 000";"2181"
"2019";"America";"Overnight stays";"x 1 000";"4201"
"2019";"Asia";"Guests";"x 1 000";"1473"
"2019";"Asia";"Overnight stays";"x 1 000";"2912"
"2019";"Australia and Oceania";"Guests";"x 1 000";"237"
"2019";"Australia and Oceania";"Overnight stays";"x 1 000";"497"
"2019";"Africa";"Guests";"x 1 000";"187"
"2019";"Africa";"Overnight stays";"x 1 000";"396"
"Source: CBS"
