CountryQ,DailyTraveltoUK,AvgStayUK
Austria,937.342845444324,4.17695486674253
Belgium,3109.51537392783,2.96691258485421
Bulgaria,645.164802326287,12.6674303183928
Denmark,1894.23071276405,3.87025227574398
Finland,587.741758178856,5.07617694691715
France,9754.84047551083,4.75770119542201
Germany,8857.29388535095,5.51328467980897
Greece,685.438462518276,7.19869804220667
Hungary,914.253668802507,7.10712572851103
Italy,6018.16276546504,5.78832908877202
Lithuania,646.45558116317,11.1959517401405
Malta,519.900181194476,6.15563282638374
Portugal,1678.60076109737,6.73150462963175
Romania,2472.04596658388,10.6644514176445
Slovakia,308.412013388826,5.49156910059468
Sweden,2162.76056258215,4.69816539127454
Switzerland,2536.2388410063,4.85934559213126
Turkey,916.296546700827,16.2252737030731
